userId,movieId,rating,timestamp
52269,96829,4.0,1419644939
130866,47099,5.0,1248832205
20447,2531,4.0,950929685
119490,5818,4.0,1055688041
56258,1682,3.5,1073081012
115246,91529,5.0,1360545589
73713,1593,4.0,918364563
121100,1527,4.5,1385636899
132561,27721,5.0,1150159561
18901,1256,3.0,945490638
73417,88125,5.0,1344548606
123207,260,4.0,1123780491
89130,33615,3.5,1238443014
62714,2004,4.0,1188901273
118803,7254,4.0,1278359575
48929,6879,4.0,1101054192
86025,2001,5.0,1051210041
28933,3996,4.0,1314894637
60181,1270,4.0,1091171312
44779,169,2.0,917192093
46979,44204,3.0,1166909722
21070,4338,4.0,1086068449
9680,22,2.5,1139969057
134950,71282,4.0,1391552885
94275,377,4.0,1006828719
94464,8361,2.5,1155529359
136806,44494,2.0,1183052228
88873,48516,3.5,1278938156
40686,904,1.0,1108659442
109796,3996,4.0,1378682363
130622,2019,4.0,1235494368
74742,4036,3.0,1009400499
94239,485,3.0,837503275
113271,4306,5.0,1100831010
116339,628,4.0,1111493933
116556,499,2.0,962506578
137505,3147,4.0,1097548593
57766,1254,3.0,1290940643
27277,77184,4.5,1355022387
27679,2263,2.0,974679267
63858,761,2.5,1279863346
103629,1918,2.5,1225341168
41925,915,4.0,944926172
90376,1372,4.0,959218168
22445,368,1.0,839502123
94771,135,4.0,856724857
134236,6934,4.0,1111483163
131967,45447,4.5,1393841806
1828,316,4.0,847482116
6453,750,4.5,1161656261
129157,3099,2.0,976247518
126918,2628,1.0,1322153315
104988,1183,3.0,1236389815
55772,292,5.0,840552611
20740,54286,5.0,1389456391
46880,3095,4.0,1037758140
94259,455,1.0,1037350828
902,82854,2.5,1305137904
60117,2496,3.0,945359643
24670,608,4.5,1213122476
123724,4022,3.5,1112571915
131484,5995,4.5,1059355128
137881,434,3.0,843913970
23925,150,5.0,832435682
115123,615,5.0,836200402
106794,150,3.5,1170466839
91994,4021,3.0,1096923791
97697,555,4.0,1130263209
81186,47972,2.0,1279757746
46742,4855,2.0,1398695331
64537,3160,4.5,1053497686
2741,3471,3.0,974697468
107649,6979,3.0,1111153879
124901,2819,3.0,1308346712
123680,3363,3.0,1176444772
5773,3964,3.0,1281866700
40384,1569,4.0,1246820801
42032,1954,2.0,966052312
134700,370,1.5,1111445327
90872,1380,5.0,849686180
6715,3968,2.5,1163974000
71170,86332,3.0,1323200104
111787,1136,3.5,1259731941
7084,2424,3.0,1131062979
85509,1721,1.0,942493007
5509,110,5.0,1194030311
63194,2694,3.5,1329075388
72217,1262,4.0,1199491303
112503,3,2.0,967582997
108512,1136,5.0,1111574986
119048,81834,3.0,1315855982
108223,74789,4.0,1293392913
97231,6711,4.0,1351049890
124759,1221,5.0,961939503
25917,5420,3.0,1041499867
97839,743,4.0,851949468
91504,587,4.0,855325409
94449,4976,3.0,1089629721
76562,27815,4.0,1418233781
108872,720,3.5,1340957701
14831,158,4.0,836739491
65539,6662,4.0,1225500831
27071,6286,5.0,1052223720
23086,1049,4.0,993665101
12301,592,4.0,1358685987
38800,7153,4.0,1117556941
18104,47,4.0,1196550461
15903,110,5.0,978843642
22190,3081,4.0,961955267
137704,36,3.5,1055224945
129746,3504,3.0,1221171103
15374,2403,4.0,1299596506
87163,1219,4.5,1137818112
43555,55765,4.0,1243891309
128798,253,3.0,903139677
68716,4701,3.5,1413244078
123686,303,4.0,1121495311
2568,91622,2.5,1356341450
77029,5308,3.5,1055858903
107877,8874,5.0,1247111046
54107,2763,4.0,1417041181
77379,1580,2.0,1024287993
17126,225,4.0,831825394
89270,1580,3.5,1179797734
34175,2058,4.0,1176966027
19934,3020,3.0,984633145
26867,26386,3.5,1130464521
